Bulletin_Nr;Wochenbeginn;Wochenende;Year;PopCity;PopCanton;InfluenzaIncCossonay;Lebendgeburten_gr;Lebendgeburten_kl;Totgeburten_gr;Totgeburten_kl;Sterbefalle_gr;Sterbefalle_kl;Deaths;Deaths10000;Kinder_gr;Kinder_kl;Influenza_Stadt;CasesCity10000;Influenza_Kanton;CasesCanton10000;Andere_Infekt;HospInf10000;Total_Aufnahmen;Hosp10000;Ortsfremde;Gesamtbestand;Anzahl
1;26.12.2009;01.01.2010;1910;63704;317457;;;;;;15;7;22;3.453472309;;;;;;;;;;;;;
2;02.01.2010;08.01.2010;1910;63704;317457;;;;;;24;4;28;4.395328394;;;;;;;;;;;;;
3;09.01.2010;15.01.2010;1910;63704;317457;;;;;;23;6;29;4.552304408;;;;;;;;;;;;;
4;16.01.2010;22.01.2010;1910;63704;317457;;;;;;14;5;19;2.982544267;;;;;;;;;;;;;
5;23.01.2010;29.01.2010;1910;63704;317457;;;;;;15;4;19;2.982544267;;;;;;;;;;;;;
6;30.01.2010;05.02.2010;1910;63704;317457;;;;;;23;4;27;4.23835238;;;;;;;;;;;;;
7;06.02.2010;12.02.2010;1910;63704;317457;;;;;;11;10;21;3.296496295;;;;;;;;;;;;;
8;13.02.2010;19.02.2010;1910;63704;317457;;;;;;14;5;19;2.982544267;;;;;;;;;;;;;
9;20.02.2010;26.02.2010;1910;63704;317457;;;;;;17;11;28;4.395328394;;;;;;;;;;;;;
10;27.02.2010;05.03.2010;1910;63704;317457;;;;;;13;6;19;2.982544267;;;;;;;;;;;;;
11;06.03.2010;12.03.2010;1910;63704;317457;;;;;;21;4;25;3.924400352;;;;;;;;;;;;;
12;13.03.2010;19.03.2010;1910;63704;317457;;;;;;15;3;18;2.825568253;;;;;;;;;;;;;
13;20.03.2010;26.03.2010;1910;63704;317457;;;;;;11;8;19;2.982544267;;;;;;;;;;;;;
14;27.03.2010;02.04.2010;1910;63704;317457;;;;;;20;8;28;4.395328394;;;;;;;;;;;;;
15;03.04.2010;09.04.2010;1910;63704;317457;;;;;;14;6;20;3.139520281;;;;;;;;;;;;;
16;10.04.2010;16.04.2010;1910;63704;317457;;;;;;14;8;22;3.453472309;;;;;;;;;;;;;
17;17.04.2010;23.04.2010;1910;63704;317457;;;;;;18;5;23;3.610448323;;;;;;;;;;;;;
18;24.04.2010;30.04.2010;1910;63704;317457;;;;;;17;4;21;3.296496295;;;;;;;;;;;;;
19;01.05.2010;07.05.2010;1910;63704;317457;;;;;;12;9;21;3.296496295;;;;;;;;;;;;;
20;08.05.2010;14.05.2010;1910;63704;317457;;;;;;10;7;17;2.668592239;;;;;;;;;;;;;
21;15.05.2010;21.05.2010;1910;63704;317457;;;;;;12;4;16;2.511616225;;;;;;;;;;;;;
22;22.05.2010;28.05.2010;1910;63704;317457;;;;;;17;7;24;3.767424338;;;;;;;;;;;;;
23;29.05.2010;04.06.2010;1910;63704;317457;;;;;;16;5;21;3.296496295;;;;;;;;;;;;;
24;05.06.2010;11.06.2010;1910;63704;317457;;;;;;10;6;16;2.511616225;;;;;;;;;;;;;
25;12.06.2010;18.06.2010;1910;63704;317457;;;;;;13;7;20;3.139520281;;;;;;;;;;;;;
26;19.06.2010;25.06.2010;1910;63704;317457;;;;;;13;4;17;2.668592239;;;;;;;;;;;;;
27;26.06.2010;02.07.2010;1910;63704;317457;;;;;;13;6;19;2.982544267;;;;;;;;;;;;;
28;03.07.2010;09.07.2010;1910;63704;317457;;;;;;7;8;15;2.354640211;;;;;;;;;;;;;
29;10.07.2010;16.07.2010;1910;63704;317457;;;;;;18;2;20;3.139520281;;;;;;;;;;;;;
30;17.07.2010;23.07.2010;1910;63704;317457;;;;;;17;8;25;3.924400352;;;;;;;;;;;;;
31;24.07.2010;30.07.2010;1910;63704;317457;;;;;;11;5;16;2.511616225;;;;;;;;;;;;;
32;31.07.2010;06.08.2010;1910;63704;317457;;;;;;10;8;18;2.825568253;;;;;;;;;;;;;
33;07.08.2010;13.08.2010;1910;63704;317457;;;;;;8;7;15;2.354640211;;;;;;;;;;;;;
34;14.08.2010;20.08.2010;1910;63704;317457;;;;;;14;6;20;3.139520281;;;;;;;;;;;;;
35;21.08.2010;27.08.2010;1910;63704;317457;;;;;;12;9;21;3.296496295;;;;;;;;;;;;;
36;28.08.2010;03.09.2010;1910;63704;317457;;;;;;14;8;22;3.453472309;;;;;;;;;;;;;
37;04.09.2010;10.09.2010;1910;63704;317457;;;;;;8;10;18;2.825568253;;;;;;;;;;;;;
38;11.09.2010;17.09.2010;1910;63704;317457;;;;;;15;6;21;3.296496295;;;;;;;;;;;;;
39;18.09.2010;24.09.2010;1910;63704;317457;;;;;;8;7;15;2.354640211;;;;;;;;;;;;;
40;25.09.2010;01.10.2010;1910;63704;317457;;;;;;15;7;22;3.453472309;;;;;;;;;;;;;
41;02.10.2010;08.10.2010;1910;63704;317457;;;;;;12;7;19;2.982544267;;;;;;;;;;;;;
42;09.10.2010;15.10.2010;1910;63704;317457;;;;;;11;1;12;1.883712169;;;;;;;;;;;;;
43;16.10.2010;22.10.2010;1910;63704;317457;;;;;;14;4;18;2.825568253;;;;;;;;;;;;;
44;23.10.2010;29.10.2010;1910;63704;317457;;;;;;17;3;20;3.139520281;;;;;;;;;;;;;
45;30.10.2010;05.11.2010;1910;63704;317457;;;;;;8;3;11;1.726736155;;;;;;;;;;;;;
46;06.11.2010;12.11.2010;1910;63704;317457;;;;;;16;3;19;2.982544267;;;;;;;;;;;;;
47;13.11.2010;19.11.2010;1910;63704;317457;;;;;;12;8;20;3.139520281;;;;;;;;;;;;;
48;20.11.2010;26.11.2010;1910;63704;317457;;;;;;14;5;19;2.982544267;;;;;;;;;;;;;
49;27.11.2010;03.12.2010;1910;63704;317457;;;;;;14;8;22;3.453472309;;;;;;;;;;;;;
50;04.12.2010;10.12.2010;1910;63704;317457;;;;;;16;5;21;3.296496295;;;;;;;;;;;;;
51;11.12.2010;17.12.2010;1910;63704;317457;;;;;;17;12;29;4.552304408;;;;;;;;;;;;;
52;18.12.2010;24.12.2010;1910;63704;317457;;;;;;14;3;17;2.668592239;;;;;;;;;;;;;
1;25.12.2010;31.12.2010;1910;63704;317457;;;;;;17;4;21;3.296496295;;;;;;;;;;;;;
2;01.01.2011;07.01.2011;1911;66040;320100;;;;;;15;2;17;2.574197456;;;;;;;;;;;;;
3;08.01.2011;14.01.2011;1911;66040;320100;;;;;;15;8;23;3.482737735;;;;;;;;;;;;;
4;15.01.2011;21.01.2011;1911;66040;320100;;;;;;11;6;17;2.574197456;;;;;;;;;;;;;
5;22.01.2011;28.01.2011;1911;66040;320100;;;;;;24;9;33;4.996971532;;;;;;;;;;;;;
6;29.01.2011;04.02.2011;1911;66040;320100;;;;;;29;4;33;4.996971532;;;;;;;;;;;;;
7;05.02.2011;11.02.2011;1911;66040;320100;;;;;;23;9;32;4.845548153;;;;;;;;;;;;;
8;12.02.2011;18.02.2011;1911;66040;320100;;;;;;35;6;41;6.208358571;;;;;;;;;;;;;
9;19.02.2011;25.02.2011;1911;66040;320100;;;;;;16;5;21;3.179890975;;;;;;;;;;;;;
10;26.02.2011;04.03.2011;1911;66040;320100;;;;;;22;7;29;4.391278013;;;;;;;;;;;;;
11;05.03.2011;11.03.2011;1911;66040;320100;;;;;;14;5;19;2.877044216;;;;;;;;;;;;;
